label, id, name, ontology
"Chemical", "CHEMBL1201290", "potassium", "UNKNOWN"
"Chemical", "CHEMBL667", "acetylcholine", "UNKNOWN"
"Chemical", "CHEMBL1200689", "nitric oxide", "UNKNOWN"
"Chemical", "CHEMBL136478", "sodium nitroprusside", "UNKNOWN"
"Chemical", "CHEMBL52606", "forskolin", "UNKNOWN"
"Chemical", "CHEMBL2108510", "interferon-beta", "UNKNOWN"
"Chemical", "CHEMBL302239", "purines", "UNKNOWN"
"Chemical", "CHEMBL375655", "guanosine", "UNKNOWN"
"Chemical", "CHEMBL863", "cysteine", "UNKNOWN"
"Chemical", "CHEMBL42336", "methionine", "UNKNOWN"
"Chemical", "CHEMBL1201451", "albumin", "UNKNOWN"
"Chemical", "CHEMBL1909300", "heparin", "UNKNOWN"
"Chemical", "CHEMBL1201414", "tinzaparin", "UNKNOWN"
"Chemical", "CHEMBL1222250", "glucose", "UNKNOWN"
"Chemical", "CHEMBL4298126", "von Willebrand factor", "UNKNOWN"
"Chemical", "CHEMBL468", "Thalidomide", "UNKNOWN"
"Chemical", "CHEMBL940", "gabapentin", "UNKNOWN"
"Chemical", "CHEMBL1161634", "perchlorate", "UNKNOWN"
"Chemical", "CHEMBL1461", "gentisic acid", "UNKNOWN"
"Chemical", "CHEMBL5095345", "tyrosinase", "UNKNOWN"
"Chemical", "CHEMBL537", "hydroquinone", "UNKNOWN"
"Chemical", "CHEMBL287556", "Kojic acid", "UNKNOWN"
"Chemical", "CHEMBL232202", "arbutin", "UNKNOWN"
"Chemical", "CHEMBL374426", "histatin 5", "UNKNOWN"
"Chemical", "CHEMBL267345", "amphotericin", "UNKNOWN"
"Chemical", "CHEMBL106", "fluconazole", "UNKNOWN"
"Chemical", "CHEMBL541388", "Fasudil hydrochloride", "UNKNOWN"
"Chemical", "CHEMBL5072826", "calcium", "UNKNOWN"
"Chemical", "CHEMBL11662", "ozagrel sodium", "UNKNOWN"
"Chemical", "CHEMBL116438", "Curcumin", "UNKNOWN"
"Chemical", "CHEMBL1234886", "oxygen", "UNKNOWN"
"Chemical", "CHEMBL600", "N-acetyl-L-cysteine", "UNKNOWN"
"Chemical", "CHEMBL545", "ethanol", "UNKNOWN"
"Chemical", "CHEMBL155886", "ceramides", "UNKNOWN"
"Chemical", "CHEMBL1009", "levodopa", "UNKNOWN"
"Chemical", "CHEMBL1201498", "amino acids", "UNKNOWN"
"Chemical", "CHEMBL930", "glutamine", "UNKNOWN"
"Chemical", "CHEMBL54922", "proline", "UNKNOWN"
"Chemical", "CHEMBL773", "glycine", "UNKNOWN"
"Chemical", "CHEMBL925", "tyrosine", "UNKNOWN"
"Chemical", "CHEMBL2108864", "sterols", "UNKNOWN"
"Chemical", "CHEMBL164660", "Psoralen", "UNKNOWN"
"Chemical", "CHEMBL40", "luminal", "UNKNOWN"
"Chemical", "CHEMBL1479103", "haematoxylin", "UNKNOWN"
"Chemical", "CHEMBL408917", "eosin", "UNKNOWN"
"Chemical", "CHEMBL454801", "coenzyme Q10", "UNKNOWN"
"Chemical", "CHEMBL112570", "cholesterol", "UNKNOWN"
"Chemical", "CHEMBL584805", "thiobarbituric", "UNKNOWN"
"Chemical", "CHEMBL2108076", "paraffin", "UNKNOWN"
"Chemical", "CHEMBL1255", "formalin", "UNKNOWN"
"Chemical", "CHEMBL857", "biotin", "UNKNOWN"
"Chemical", "CHEMBL2364573", "NADPH", "UNKNOWN"
"Chemical", "CHEMBL12198", "alanine", "UNKNOWN"
"Chemical", "CHEMBL15980", "hexamethylene", "UNKNOWN"
"Chemical", "CHEMBL2104386", "atrial natriuretic peptide", "UNKNOWN"
"Chemical", "CHEMBL1098659", "water", "UNKNOWN"
"Chemical", "CHEMBL4297653", "barium", "UNKNOWN"
"Chemical", "CHEMBL15913", "Cytosine", "UNKNOWN"
"Chemical", "CHEMBL566", "uracil", "UNKNOWN"
"Chemical", "CHEMBL226345", "adenine", "UNKNOWN"
"Chemical", "CHEMBL65567", "creatinine", "UNKNOWN"
"Chemical", "CHEMBL262777", "vancomycin", "UNKNOWN"
"Chemical", "CHEMBL4297264", "benzodiazepines", "UNKNOWN"
"Chemical", "CHEMBL526", "propofol", "UNKNOWN"
"Chemical", "CHEMBL1200733", "desflurane", "UNKNOWN"
"Chemical", "CHEMBL1200694", "sevoflurane", "UNKNOWN"
"Chemical", "CHEMBL1256", "isoflurane", "UNKNOWN"
"Chemical", "CHEMBL1257", "enflurane", "UNKNOWN"
"Chemical", "CHEMBL931", "halothane", "UNKNOWN"
"Chemical", "CHEMBL1201633", "Alglucerase", "UNKNOWN"
"Chemical", "CHEMBL2108147", "streptokinase", "UNKNOWN"
"Chemical", "CHEMBL1201593", "alteplase", "UNKNOWN"
"Chemical", "CHEMBL2108250", "anistreplase", "UNKNOWN"
"Chemical", "CHEMBL1762", "tocainide", "UNKNOWN"
"Chemical", "CHEMBL42115", "thyroxine", "UNKNOWN"
"Chemical", "CHEMBL1200574", "saline", "UNKNOWN"
"Chemical", "CHEMBL1201119", "triiodothyronine", "UNKNOWN"
"Chemical", "CHEMBL434", "isoproterenol", "UNKNOWN"
"Chemical", "CHEMBL4650389", "decorin", "UNKNOWN"
"Chemical", "CHEMBL1201539", "insulin", "UNKNOWN"
"Chemical", "CHEMBL427216", "gliclazide", "UNKNOWN"
"Chemical", "CHEMBL782", "tolbutamide", "UNKNOWN"
"Chemical", "CHEMBL1589", "acetohexamide", "UNKNOWN"
"Chemical", "CHEMBL472", "glibenclamide", "UNKNOWN"
"Chemical", "CHEMBL498", "chlorpropamide", "UNKNOWN"
"Chemical", "CHEMBL2108545", "superoxide dismutase", "UNKNOWN"
"Chemical", "CHEMBL301523", "L-phenylalanine", "UNKNOWN"
"Chemical", "CHEMBL1200748", "carbidopa", "UNKNOWN"
"Chemical", "CHEMBL493", "bromocriptine", "UNKNOWN"
"Chemical", "CHEMBL1185", "Zolmitriptan", "UNKNOWN"
"Chemical", "CHEMBL590540", "cystine", "UNKNOWN"
"Chemical", "CHEMBL602", "cysteamine", "UNKNOWN"
"Chemical", "CHEMBL3544994", "free acid", "UNKNOWN"
"Chemical", "CHEMBL421", "sulfasalazine", "UNKNOWN"
"Chemical", "CHEMBL704", "Pentasa", "UNKNOWN"
"Chemical", "CHEMBL527", "piroxicam", "UNKNOWN"
"Chemical", "CHEMBL15770", "sulindac", "UNKNOWN"
"Chemical", "CHEMBL2146126", "Lithium", "UNKNOWN"
"Chemical", "CHEMBL273453", "Aldosterone", "UNKNOWN"
"Chemical", "CHEMBL1437", "norepinephrine", "UNKNOWN"
"Chemical", "CHEMBL99", "trichostatin", "UNKNOWN"
"Chemical", "CHEMBL170", "quinine", "UNKNOWN"
"Chemical", "CHEMBL850", "sparfloxacin", "UNKNOWN"
"Chemical", "CHEMBL633", "amiodarone", "UNKNOWN"
"Chemical", "CHEMBL1200699", "doxycycline", "UNKNOWN"
"Chemical", "CHEMBL686", "mefenamic acid", "UNKNOWN"
"Chemical", "CHEMBL5", "nalidixic acid", "UNKNOWN"
"Chemical", "CHEMBL139", "diclofenac", "UNKNOWN"
"Chemical", "CHEMBL578", "enalapril", "UNKNOWN"
"Chemical", "CHEMBL23", "diltiazem", "UNKNOWN"
"Chemical", "CHEMBL1314751", "prochlorperazine maleate", "UNKNOWN"
"Chemical", "CHEMBL54", "haloperidol", "UNKNOWN"
"Chemical", "CHEMBL1200986", "haloperidol decanoate", "UNKNOWN"
"Chemical", "CHEMBL42", "clozapine", "UNKNOWN"
"Chemical", "CHEMBL85", "risperidone", "UNKNOWN"
"Chemical", "CHEMBL2074977", "cadmium", "UNKNOWN"
"Chemical", "CHEMBL193", "nifedipine", "UNKNOWN"
"Chemical", "CHEMBL96926", "thapsigargin", "UNKNOWN"
"Chemical", "CHEMBL2112186", "ryanodine", "UNKNOWN"
"Chemical", "CHEMBL113", "caffeine", "UNKNOWN"
"Chemical", "CHEMBL345124", "propidium iodide", "UNKNOWN"
"Chemical", "CHEMBL15562", "pyrimidine", "UNKNOWN"
"Chemical", "CHEMBL16396", "cyclohexene", "UNKNOWN"
"Chemical", "CHEMBL1560", "Captopril", "UNKNOWN"
"Chemical", "CHEMBL19236", "moxonidine", "UNKNOWN"
"Chemical", "CHEMBL416", "8-methoxypsoralen", "UNKNOWN"
"Chemical", "CHEMBL1650069", "lucifer yellow", "UNKNOWN"
"Chemical", "CHEMBL253582", "sucrose", "UNKNOWN"
"Chemical", "CHEMBL145114", "phosphinothricin", "UNKNOWN"
"Chemical", "CHEMBL1384", "kanamycin", "UNKNOWN"
"Chemical", "CHEMBL4630684", "Silymarin", "UNKNOWN"
"Chemical", "CHEMBL95", "Tacrine", "UNKNOWN"
"Chemical", "CHEMBL1236802", "Xenon", "UNKNOWN"
"Chemical", "CHEMBL2108314", "Epidermal growth factor", "UNKNOWN"
"Chemical", "CHEMBL1588", "thiamine", "UNKNOWN"
